ID,Nom_Produit,Marque,Code_Barres,Categorie,Energie_kJ,Energie_kcal,Acides_Gras_Satures_g,Sucres_g,Sodium_mg,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,Score_Nutriscore,Label_Nutriscore,Score_Greenscore,Label_Greenscore,Label_Bio,Nombre_Additifs,Liste_Additifs,URL_OpenFoodFacts,Date_Collecte,Notes,Classe_ELECTRE_Pessimiste_06,Classe_ELECTRE_Optimiste_06,Classe_ELECTRE_Pessimiste_07,Classe_ELECTRE_Optimiste_07,Classe_SuperNutriScore
1,Sidi Ali,Sidi Ali,6111035000430,Eau,2.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0,1,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6111035000430/sidi-ali,2025-10-17,,,,,,
2,اكوافينا,AQUAFINA,6111252421568,Eau,0.0,0.0,0.0,0.0,0.2,0.001,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6111252421568/coca-cola-aquafina,2025-10-17,,,,,,
3,Eau De Source,Cristaline,3274080005003,Eau,0.0,0.0,0.0,0.0,21.0,0.052,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3274080005003/eau-de-source-cristaline,2025-10-17,,,,,,
4,Ain Saïss,Danone,6111128000071,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6111128000071/ain-saiss-danone,2025-10-17,,,,,,
5,Eau minéral naturelle,Ain atlas,6111035502828,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6111035502828/eau-mineral-naturelle-ain-atlas,2025-10-17,,,,,,
6,Orange juice,Coca cola,5449000147417,Autre boisson,165.0,39.0,0.0,17.0,50.4,0.126,0.0,5.0,0,15,E,51.0,C,NON,7,"e160a, e300, e414, e440, e445, e950, e954",https://world.openfoodfacts.org/product/5449000147417/orange-juice-coca-cola,2025-10-17,,,,,,
7,"coca cola 0,5",Coca-Cola,54491472,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338",https://world.openfoodfacts.org/product/54491472/coca-cola-0-5,2025-10-17,,,,,,
8,Ciel,THE COCA-COLA COMPANY,5449000061515,Eau,0.0,0.0,0.0,0.0,20.0,0.05,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/5449000061515/ciel-the-coca-cola-company,2025-10-17,,,,,,
9,Geröstete Mandel Ohne Zucker,alpro,5411188112709,Autre boisson,61.0,15.0,0.1,0.0,60.0,0.15,0.5,0.3,0,1,B,69.0,B,NON,3,"e322, e412, e418",https://world.openfoodfacts.org/product/5411188112709/nutty-almond-alpro,2025-10-17,,,,,,
10,Aïn Atlas 50cl,Aïn Atlas,6111035001673,Eau,0.0,0.0,0.0,0.0,9.6,0.024,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6111035001673/ain-atlas-50cl,2025-10-17,,,,,,
11,Green Tea,green tea,6923818812082,Thé,200.0,0.5,0.5,0.2,40.0,0.1,0.5,0.2,0,3,C,80.0,A,NON,0,,https://world.openfoodfacts.org/product/6923818812082/pe20-12-20-24-e-20-12-2-029-green-tea,2025-10-17,,,,,,
12,RICORE Original,"Nestlé, Ricore",3033710073467,Café,577.0,141.0,0.1,9.1,92.0,0.23,2.7,45.3,0,0,B,-5.0,F,NON,0,,https://world.openfoodfacts.org/product/3033710073467/ricore-original-nestle,2025-10-17,,,,,,
13,Pulco Citron,"Orangina Schweppes France,Pulco,Schweppes International Limited",3225350000501,Autre boisson,99.0,11.5,0.0,0.4,4.0,0.01,0.1,5.0,0,0,B,112.0,A-PLUS,OUI,1,e330,https://world.openfoodfacts.org/product/3225350000501/pulco-lemon-orangina-schweppes-france,2025-10-17,,,,,,
14,Nesquik,Nestlé,7613039490266,Soda,1634.0,386.0,1.6,75.1,164.0,0.41,5.1,7.7,0,9,D,49.0,C,NON,2,"e322, e322i",https://world.openfoodfacts.org/product/7613039490266/nesquik-nestle,2025-10-17,,,,,,
15,Ricoré original,Nestlé,7613035676497,Café,577.0,141.0,0.1,9.1,92.0,0.23,2.7,45.3,0,0,B,-9.0,F,NON,0,,https://world.openfoodfacts.org/product/7613035676497/ricore-original-cafe-chicoree-boite-260g-nestle,2025-10-17,,,,,,
16,Mandelmilch mit Zucker,alpro,5411188110835,Boisson lactée,93.0,22.0,0.1,2.4,56.0,0.14,0.4,0.4,0,4,C,89.0,A,OUI,2,"e322, e418",https://world.openfoodfacts.org/product/5411188110835/mediterranean-nutty-almond-alpro,2025-10-17,,,,,,
17,BjORG AMANDE ALMOND SANS SUGRES- NO SUGAR,Bjorg,3229820787015,Boisson lactée,102.0,25.0,0.2,0.5,20.0,0.05,0.7,0.5,0,2,B,79.0,A,OUI,2,"e412, e415",https://world.openfoodfacts.org/product/3229820787015/amande-sans-sucres-bjorg,2025-10-17,,,,,,
18,Haferdrink Barista,Oatly,7394376616501,Autre boisson,257.0,61.0,0.3,3.4,40.0,0.1,1.1,0.8,0,7,D,63.0,B,NON,2,"e340, e340ii",https://world.openfoodfacts.org/product/7394376616501/barista-edition-hafer-oat-oatly,2025-10-17,,,,,,
19,Eau minérale naturelle,Evian,3068320120256,Eau,0.0,0.0,0.0,0.0,0.7,0.002,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3068320120256/natuurlijk-mineraalwater-evian,2025-10-17,,,,,,
20,PET 2L OASIS TROPICAL,"Oasis,Orangina Schweppes France",3124480191182,Eau,120.0,28.0,0.0,6.6,12.0,0.03,0.1,0.0,0,7,D,48.0,C,NON,5,"e160c, e296, e300, e330, e331",https://world.openfoodfacts.org/product/3124480191182/pet-2l-oasis-tropical,2025-10-17,,,,,,
21,"Chicorée & Café, RICORÉ® L'Original, Boîte de 260g","Nestlé, Ricoré",7613032655495,Café,577.0,141.0,0.1,9.1,92.0,0.23,2.7,45.3,0,0,B,-20.0,F,NON,0,,https://world.openfoodfacts.org/product/7613032655495/chicoree-cafe-ricore-l-original-boite-de-260g-nestle,2025-10-17,,,,,,
22,Le Choco,"Nestlé, Le chocolat",3033710065783,Soda,1678.0,398.0,4.2,65.8,48.0,0.12,6.8,9.1,0,9,D,34.0,D,NON,2,"e322, e322i",https://world.openfoodfacts.org/product/3033710065783/le-choco-nestle,2025-10-17,,,,,,
23,NESQUIK Cacao,"Nestlé, Nesquik",3033710065967,Soda,1634.0,386.0,1.6,75.1,164.0,0.41,5.1,7.7,0,9,D,51.0,C,NON,2,"e322, e322i",https://world.openfoodfacts.org/product/3033710065967/nesquik-cacao-nestle,2025-10-17,,,,,,
24,Nesquik,"Nestlé,Nesquik",8445290133403,Soda,1634.0,386.0,1.6,75.1,164.0,0.41,5.1,7.7,0,9,D,55.0,C,NON,2,"e322, e322i",https://world.openfoodfacts.org/product/8445290133403/nesquik-nestle,2025-10-17,,,,,,
25,Coca-Cola slim 25cl,Coca-Cola,5449000008046,Soda,70.4,42.0,0.0,10.6,8.3,0.021,0.0,0.0,0,10,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338",https://world.openfoodfacts.org/product/5449000008046/coca-cola-slim-25cl,2025-10-17,,,,,,
26,Badoit 1 L PET,BADOIT,3068320114453,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3068320114453/badoit-1-l-pet,2025-10-17,,,,,,
27,Raibi jamila,central,6111032009870,Boisson lactée,245.0,58.6,0.9,7.0,0.0,0.0,1.6,0.0,0,8,D,37.0,D,NON,0,,https://world.openfoodfacts.org/product/6111032009870/raibi-jamila-central,2025-10-17,,,,,,
28,Red Bull,Red Bull,9002490100070,Soda,195.0,46.6,0.0,11.0,40.0,0.1,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,6,"e101, e150, e290, e330, e500, e504",https://world.openfoodfacts.org/product/9002490100070/red-bull-energy-drink,2025-10-17,,,,,,
29,Jutos,Jaouda,6111242106666,Jus de fruits,66.8,42.2,0.0,8.0,20.0,0.05,0.0,0.0,0,7,D,21.0,E,NON,1,e330,https://world.openfoodfacts.org/product/6111242106666/jutos-jaouda,2025-10-17,,,,,,
30,"Alpro Haferdrink, Ungesüßt 1 L, FRESH",alpro,5411188124702,Autre boisson,169.0,40.0,0.2,0.0,44.0,0.11,0.2,1.2,0,3,C,65.0,B,NON,1,e418,https://world.openfoodfacts.org/product/5411188124702/oat-drink-with-added-calcium-iodine-and-vitamins-alpro,2025-10-17,,,,,,
31,Organic oat drink,Oatly,7394376123337,Boisson lactée,166.0,39.0,0.1,3.4,0.1,0.0,1.1,0.8,0,5,C,77.0,A,OUI,0,,https://world.openfoodfacts.org/product/7394376123337/organic-oat-drink-oatly,2025-10-17,,,,,,
32,COCA COLA PET 1.25L CT,Coca-Cola,5449000267412,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,2,"e150d, e338",https://world.openfoodfacts.org/product/5449000267412/coca-cola-pet-1-25l-ct,2025-10-17,,,,,,
33,Soyamilch,ALPRO,5411188115472,Boisson lactée,163.0,39.0,0.3,2.5,36.0,0.09,3.0,0.5,0,-1,B,86.0,A,NON,2,"e340, e418",https://world.openfoodfacts.org/product/5411188115472/soya-drink-1-0-liter-alpro,2025-10-17,,,,,,
34,Multivitamin Capri-Sun,Capri-Sun,4000177158319,Autre boisson,130.0,31.0,0.0,7.3,0.0,0.0,0.0,0.0,0,8,D,49.0,C,NON,0,,https://world.openfoodfacts.org/product/4000177158319/multivitamin-capri-sun,2025-10-17,,,,,,
35,CONTREX eau minérale naturelle,Contrex,7613035866386,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/7613035866386/contrex-eau-minerale-naturelle,2025-10-17,,,,,,
36,Avoine - Boisson biologique,Bjorg,3229820792132,Boisson lactée,187.0,45.0,0.3,4.0,36.0,0.09,0.5,0.5,0,6,C,82.0,A,OUI,0,,https://world.openfoodfacts.org/product/3229820792132/avoine-boisson-biologique-bjorg,2025-10-17,,,,,,
37,Délicieuse & Tropical Coco,alpro,5411188116592,Autre boisson,85.0,20.0,0.8,1.9,52.0,0.13,0.1,0.1,0,2,B,,UNKNOWN,NON,3,"e412, e415, e418",https://world.openfoodfacts.org/product/5411188116592/tempting-and-tropical-coconut-alpro,2025-10-17,,,,,,
38,Pétillante saveur Citron,"Lidl, Saguaro",20656935,Eau,1.0,0.0,0.0,0.0,4.0,0.01,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/20656935/petillante-saveur-citron-lidl,2025-10-17,,,,,,
39,Lait de coco,Kara,8886303210238,Boisson lactée,749.0,182.0,17.0,2.2,12.0,0.03,2.0,0.5,0,15,E,72.0,B,NON,2,"e412, e415",https://world.openfoodfacts.org/product/8886303210238/uht-coconut-milk-17-kara,2025-10-17,,,,,,
40,Benco Original,Benco,3034470003107,Soda,761.0,180.0,0.67,37.1,41.9,0.105,2.29,3.19,0,12,E,37.0,D,NON,0,,https://world.openfoodfacts.org/product/3034470003107/benco-original,2025-10-17,,,,,,
41,Succo di limone,"Solevita, Italiamo",20019907,Autre boisson,117.0,28.0,0.1,2.2,4.0,0.01,0.4,0.0,0,-2,B,32.0,D,NON,2,"e224, e300",https://world.openfoodfacts.org/product/20019907/suco-de-limao-citroensap-jus-de-citron-solevita,2025-10-17,,,,,,
42,Danup fraise,Danone,6111032004448,Boisson lactée,59.0,246.0,1.06,5.5,0.0,0.0,1.75,0.0,0,4,C,23.0,E,NON,0,,https://world.openfoodfacts.org/product/6111032004448/danup-fraise-danone,2025-10-17,,,,,,
43,chocolat en poudre,Poulain,3664346306027,Soda,297.0,71.0,1.2,8.1,44.0,0.11,4.0,1.2,0,11,E,37.0,D,NON,0,,https://world.openfoodfacts.org/product/3664346306027/chocolat-en-poudre-poulain,2025-10-17,,,,,,
44,Bebida de Avena,Alitey,8423352861402,Autre boisson,198.0,47.0,0.1,5.4,12.0,0.03,1.6,0.7,0,1,B,63.0,B,NON,0,,https://world.openfoodfacts.org/product/8423352861402/bebida-de-avena-alitey,2025-10-17,,,,,,
45,"Alpro® Mandeldrink Ungesüßt, 1 L, FRESH",Alpro,5411188112778,Autre boisson,53.0,13.0,0.1,0.0,52.0,0.13,0.4,0.4,0,1,B,78.0,A,NON,1,e418,https://world.openfoodfacts.org/product/5411188112778/alpro-mandeldrink-ungesusst-1-l-fresh,2025-10-17,,,,,,
46,Press Up moyen,Jaouda,6111242107366,Jus de fruits,157.0,37.0,0.0,4.5,1000.0,2.5,0.1,0.2,0,14,E,21.0,E,NON,1,e330,https://world.openfoodfacts.org/product/6111242107366/press-up-moyen-jaouda,2025-10-17,,,,,,
47,RICORÉ® aux céréales et à la chicorée solubles Boîte 250g,"Nestlé,Caro,Ricore",3033710003228,Café,1573.0,371.0,0.2,3.2,92.0,0.23,5.1,8.0,0,2,B,,UNKNOWN,NON,0,,https://world.openfoodfacts.org/product/3033710003228/ricore-aux-cereales-et-a-la-chicoree-solubles-boite-250g-nestle,2025-10-17,,,,,,
48,ROZANA Eau Minérale Naturelle Pétillante 1.00 L,Rozana,3468570116601,Eau,0.0,0.0,0.0,0.0,49.3,0.123,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3468570116601/rozana-eau-minerale-naturelle-petillante-1-00-l,2025-10-17,,,,,,
49,"Alpro Sojadrink, Ungesüßt 1L",Danone,5411188115496,Boisson lactée,138.0,33.0,0.3,0.0,36.0,0.09,3.3,0.6,0,-5,B,77.0,A,NON,2,"e340, e418",https://world.openfoodfacts.org/product/5411188115496/alpro-sojadrink-ungesusst-1l-danone,2025-10-17,,,,,,
50,Coca-Cola Zero,Coca-Cola,5449000131843,Soda,1.3,0.3,0.0,0.0,4.0,0.01,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,7,"e150d, e290, e331, e338, e950, e951, e952",https://world.openfoodfacts.org/product/5449000131843/coke-zero-coca-cola,2025-10-17,,,,,,
51,Rich and indulgent Hazelnut,Promise Gluten Free,5411188110842,Boisson lactée,122.0,221.0,0.2,3.2,56.0,0.14,0.4,0.3,0,4,C,69.0,B,NON,2,"e322, e418",https://world.openfoodfacts.org/product/5411188110842/chia-quinoa-loaf-promise-gluten-free,2025-10-17,,,,,,
52,Pepsi Max,"Pepsi zero, PepsiCo",3502110009357,Soda,2.0,0.4,0.0,0.0,4.0,0.01,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,6,"e150d, e330, e331, e338, e950, e951",https://world.openfoodfacts.org/product/3502110009357/pepsi-max-pepsi-zero,2025-10-17,,,,,,
53,Bio Hafer,Vemondo,4056489997511,Boisson lactée,148.0,35.0,0.2,3.3,32.0,0.08,0.0,1.0,0,4,C,76.0,A,OUI,0,,https://world.openfoodfacts.org/product/4056489997511/bio-hafer-vemondo,2025-10-17,,,,,,
54,Grand Arôme 32% de Cacao,Poulain,3664346306003,Soda,302.0,72.0,1.1,9.5,44.0,0.11,3.7,0.8,0,10,E,39.0,D,NON,0,,https://world.openfoodfacts.org/product/3664346306003/grand-arome-32-de-cacao-poulain,2025-10-17,,,,,,
55,Orangina,Orangina,3249760000654,Soda,174.0,41.0,0.0,9.6,4.0,0.01,0.1,0.0,0,11,E,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3249760000654/orangina,2025-10-17,,,,,,
56,San Pellegrino,"San Pellegrino, Nestlé",8002270116544,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/8002270116544/san-pellegrino,2025-10-17,,,,,,
57,Organic Gluten-Free Oat Drink,Plenish,5060362071709,Boisson lactée,138.0,33.0,0.1,3.8,32.0,0.08,0.6,0.5,0,5,C,61.0,B,OUI,0,,https://world.openfoodfacts.org/product/5060362071709/organic-gluten-free-oat-drink-plenish,2025-10-17,,,,,,
58,Orangensaft,Tropicana,3502110009449,Jus de fruits,182.0,40.0,0.0,8.9,0.0,0.0,0.8,0.6,0,4,C,43.0,D,NON,0,,https://world.openfoodfacts.org/product/3502110009449/orangensaft-tropicana,2025-10-17,,,,,,
59,Guedila,Guedila,6130758000022,Eau,0.0,0.0,0.0,0.0,2.9,0.007,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6130758000022/guedila,2025-10-17,,,,,,
60,Alpro Not Milk,ALPRO,5411188134985,Autre boisson,248.0,59.0,0.4,0.0,48.0,0.12,0.7,1.0,0,5,C,63.0,B,NON,2,"e340, e418",https://world.openfoodfacts.org/product/5411188134985/not-milk-drink-pflanzlich-voll-alpro,2025-10-17,,,,,,
61,Banania Original - Cacao Céréales Touche De Banane & Miel,Banania,3700278400881,Soda,1577.0,373.0,1.4,69.0,24.0,0.06,5.6,6.7,0,9,D,47.0,C,NON,0,,https://world.openfoodfacts.org/product/3700278400881/banania-original-cocoa-cereals-with-hint-of-banana-honey,2025-10-17,,,,,,
62,Soja nature sans sucre ajouté bio,Bjorg,3229820019604,Boisson lactée,178.0,43.0,0.6,0.5,12.0,0.03,3.9,0.5,0,-4,B,99.0,A-PLUS,OUI,0,,https://world.openfoodfacts.org/product/3229820019604/soja-no-sugar-bjorg,2025-10-17,,,,,,
63,Haway tropical,Hawai,5449000025272,Soda,157.0,37.0,0.0,8.5,0.0,0.0,0.0,0.0,0,10,E,,NOT-APPLICABLE,NON,3,"e110, e1450, e444",https://world.openfoodfacts.org/product/5449000025272/haway-tropical-hawai,2025-10-17,,,,,,
64,Grand Arôme moins de sucre,Poulain,3664346315371,Soda,296.0,70.0,1.1,8.4,44.0,0.11,3.9,1.1,0,16,E,36.0,D,NON,0,,https://world.openfoodfacts.org/product/3664346315371/grand-arome-moins-de-sucre-poulain,2025-10-17,,,,,,
65,Organic Oat drink,Plenish,5060362071051,Boisson lactée,138.0,33.0,0.1,3.8,32.0,0.08,0.6,0.5,0,5,C,52.0,C,NON,0,,https://world.openfoodfacts.org/product/5060362071051/organic-oat-drink-plenish,2025-10-17,,,,,,
66,Coco Sans Sucres,alpro,5411188128311,Autre boisson,59.0,14.0,1.1,0.0,28.0,0.07,0.1,0.0,0,2,B,40.0,D,NON,3,"e412, e415, e418",https://world.openfoodfacts.org/product/5411188128311/coconut-drink-with-added-calcium-and-vitamin-b12-alpro,2025-10-17,,,,,,
67,"Alpro Sojadrink, Schokoladen-Geschmack, Protein 1L",alpro,5411188130055,Soda,291.0,69.0,0.6,5.0,64.0,0.16,5.0,1.3,0,2,B,94.0,A-PLUS,NON,2,"e340, e418",https://world.openfoodfacts.org/product/5411188130055/plant-protein-chocolate-flavour-alpro,2025-10-17,,,,,,
68,Bebida de almendra 0% azúcares,Hacendado,8480000239266,Autre boisson,64.0,16.0,0.3,0.0,32.0,0.08,0.5,0.0,0,1,B,71.0,B,NON,5,"e340, e340iii, e418, e452, e473",https://world.openfoodfacts.org/product/8480000239266/bebida-de-almendra-0-azucares-hacendado,2025-10-17,,,,,,
69,Coconut Milk,Sainsbury's,00159111,Boisson lactée,623.0,149.0,13.8,1.6,20.0,0.05,1.3,0.5,0,16,E,71.0,B,NON,3,"e223, e435, e466",https://world.openfoodfacts.org/product/00159111/coconut-milk-sainsbury-s,2025-10-17,,,,,,
70,le bio pour toute la famille multifruit,pressade,3254691586054,Jus de fruits,159.0,38.0,0.0,8.2,0.0,0.0,0.0,0.0,0,10,E,54.0,C,OUI,0,,https://world.openfoodfacts.org/product/3254691586054/le-bio-pour-toute-la-famille-multifruit-pressade,2025-10-17,,,,,,
71,Wasser Volvic naturelle,Volvic,3057640186158,Autre boisson,0.0,0.0,0.0,0.0,12.0,0.03,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3057640186158/naturliches-mineralwasser-volvic,2025-10-17,,,,,,
72,Ovomaltine Céréal Energy,Ovomaltine,7612100914199,Soda,1600.0,375.0,1.0,51.0,200.0,0.5,9.5,0.0,0,15,E,51.0,C,NON,0,,https://world.openfoodfacts.org/product/7612100914199/ovomaltine-cereal-energy,2025-10-17,,,,,,
73,Danone max red fruit,Danone,6111032009412,Autre boisson,217.0,51.9,0.85,9.3,0.0,0.0,1.4,0.0,0,11,E,,UNKNOWN,NON,0,,https://world.openfoodfacts.org/product/6111032009412/danone-max-red-fruit,2025-10-17,,,,,,
