ID,Nom_Produit,Marque,Code_Barres,Categorie,Energie_kJ,Energie_kcal,Acides_Gras_Satures_g,Sucres_g,Sodium_mg,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,Score_Nutriscore,Label_Nutriscore,Score_Greenscore,Label_Greenscore,Label_Bio,Nombre_Additifs,Liste_Additifs,URL_OpenFoodFacts,Date_Collecte,Notes,Classe_ELECTRE_Pessimiste_06,Classe_ELECTRE_Optimiste_06,Classe_ELECTRE_Pessimiste_07,Classe_ELECTRE_Optimiste_07,Classe_SuperNutriScore
218,Orangina,Orangina,3124480167026,Soda,175.0,41.0,0.0,9.6,4.0,0.01,0.1,0.0,0,9,D,,NOT-APPLICABLE,NON,1,e202,https://world.openfoodfacts.org/product/3124480167026/orangina,2025-10-17,,,,,,
219,Oatly! Bio Hafer/Oat,Oatly,7394376615894,Boisson lactée,166.0,39.0,0.1,3.4,40.0,0.1,1.1,0.8,0,5,C,81.0,A,OUI,0,,https://world.openfoodfacts.org/product/7394376615894/oatly-bio-hafer-oat,2025-10-17,,,,,,
220,Kefir,my milk,8034066307003,Boisson lactée,192.0,46.0,0.9,4.0,0.0,0.0,4.0,0.0,0,-1,B,,UNKNOWN,NON,0,,https://world.openfoodfacts.org/product/8034066307003/kefir-bianco-naturale-my-milk,2025-10-17,,,,,,
221,Volvic essentiel bio,Volvic,3057640514098,Eau,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,B,,NOT-APPLICABLE,OUI,0,,https://world.openfoodfacts.org/product/3057640514098/volvic-essentiel-bio,2025-10-17,,,,,,
222,Yaourt,Danone,6111032007685,Autre boisson,334.0,95.0,2.0,9.0,0.0,0.0,2.3,0.0,0,12,E,-20.0,F,NON,0,,https://world.openfoodfacts.org/product/6111032007685/yaourt-danone,2025-10-17,,,,,,
223,Aïn saïss citron citron vert,Aïn Saïs,6111128000224,Eau,85.1,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0,1,B,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6111128000224/ain-saiss-citron-citron-vert-ain-sais,2025-10-17,,,,,,
224,Yakult original,Yakult,8713108000835,Boisson lactée,280.0,66.0,0.0,13.6,16.0,0.04,1.3,0.0,0,15,E,30.0,D,NON,0,,https://world.openfoodfacts.org/product/8713108000835/yakult-original,2025-10-17,,,,,,
225,"1,5L FRAISE VOLVIC","Danone,Volvic",3057640467233,Eau,83.0,20.0,0.0,4.9,4.0,0.01,0.5,0.0,0,4,C,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3057640467233/1-5l-fraise-volvic-danone,2025-10-17,,,,,,
226,Jus d'orange sans pulpe,innocent,5038862134729,Jus de fruits,149.0,35.0,0.1,7.8,4.0,0.01,0.7,0.7,0,2,B,52.0,C,NON,0,,https://world.openfoodfacts.org/product/5038862134729/jus-d-orange-sans-pulpe-innocent,2025-10-17,,,,,,
227,Aquarius Naranja,"Aquarius,The Coca-Cola Company",5449000033819,Autre boisson,81.0,19.0,0.0,4.5,20.0,0.05,0.0,0.0,0,8,D,,UNKNOWN,NON,8,"e296, e300, e330, e331, e414, e445, e950, e955",https://world.openfoodfacts.org/product/5449000033819/aquarius-naranja,2025-10-17,,,,,,
228,Coca-Cola Zero Zero,Coca-Cola,5449000169327,Soda,0.9,0.3,0.0,0.0,10.0,0.025,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,6,"e150d, e331, e338, e950, e951, e952",https://world.openfoodfacts.org/product/5449000169327/coca-cola-zero-azucar-zero-cafeina,2025-10-17,,,,,,
229,iKaffe,OAT-LY!,7394376616037,Boisson lactée,255.0,61.0,0.3,3.4,0.1,0.0,1.1,0.8,0,7,D,63.0,B,NON,2,"e340, e340ii",https://world.openfoodfacts.org/product/7394376616037/oat-ly-ikaffe-barista-edition,2025-10-17,,,,,,
230,"No Milk Hafer 3,5% Fett","Lidl, Vemondo",4056489708995,Boisson lactée,222.0,53.0,0.3,1.2,52.0,0.13,0.8,1.1,0,5,C,61.0,B,NON,4,"e170, e170i, e340, e418",https://world.openfoodfacts.org/product/4056489708995/no-milk-hafer-3-5-fett-lidl,2025-10-17,,,,,,
231,Kong Strong Wild Power Sugar Free,Lidl,20917609,Boisson énergisante,15.0,4.0,0.1,0.1,76.0,0.19,0.4,0.0,0,4,C,,NOT-APPLICABLE,NON,5,"e150a, e330, e331, e950, e951",https://world.openfoodfacts.org/product/20917609/kong-strong-wild-power-sugar-free-lidl,2025-10-17,,,,,,
232,"Alpro Fermentiertes Sojaprodukt, Heidelbeere, 500g",Alpro,5411188102809,Autre boisson,293.0,70.0,0.4,7.9,60.0,0.15,3.7,1.0,0,5,C,43.0,D,NON,4,"e304, e330, e331, e440",https://world.openfoodfacts.org/product/5411188102809/alpro-fermentiertes-sojaprodukt-heidelbeere-500g,2025-10-17,,,,,,
233,"Alpro Sojadrink, Banane 1L",Alpro,5411188116905,Boisson lactée,243.0,58.0,0.3,6.0,56.0,0.14,3.0,0.6,0,3,C,79.0,A,NON,2,"e340, e418",https://world.openfoodfacts.org/product/5411188116905/alpro-sojadrink-banane-1l,2025-10-17,,,,,,
234,JOKER LE BIO MULTIFRUIT 1L,Joker,3123349014433,Jus de fruits,167.0,40.0,0.0,8.6,0.0,0.0,0.0,0.0,0,4,C,46.0,C,OUI,0,,https://world.openfoodfacts.org/product/3123349014433/joker-le-bio-multifruit-1l,2025-10-17,,,,,,
235,Creamy oat,Oatly,7394376616587,Boisson lactée,601.0,145.0,1.6,3.6,44.0,0.11,0.9,0.8,0,14,E,62.0,B,NON,2,"e415, e472e",https://world.openfoodfacts.org/product/7394376616587/creamy-oat-oatly,2025-10-17,,,,,,
236,100% Pur Jus - Pomme,"CMI (Carrefour Marchandises Internationales), Carrefour, Groupe Carrefour",3560070275267,Jus de fruits,197.0,47.0,0.0,10.0,4.0,0.01,0.0,0.0,0,5,C,63.0,B,NON,0,,https://world.openfoodfacts.org/product/3560070275267/100-pur-jus-pomme-cmi-carrefour-marchandises-internationales,2025-10-17,,,,,,
237,Volvic Juicy Fraise,"Volvic,Volvic juicy",3057640458828,Eau,83.0,20.0,0.0,4.9,4.0,0.01,0.5,0.0,0,4,C,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3057640458828/volvic-juicy-fraise,2025-10-17,,,,,,
238,Le Fruit - Orange sans pulpe,Joker,3123340008288,Jus de fruits,178.0,42.0,0.0,8.7,4.0,0.01,0.6,0.0,0,4,C,84.0,A,NON,0,,https://world.openfoodfacts.org/product/3123340008288/le-fruit-orange-sans-pulpe-joker,2025-10-17,,,,,,
239,Sirop de grenadine,"Marque Repère, Frucci",3564700003169,Autre boisson,1438.0,338.0,0.1,85.0,4.0,0.01,0.5,0.5,0,12,E,95.0,A-PLUS,NON,1,e330,https://world.openfoodfacts.org/product/3564700003169/sirop-de-grenadine-marque-repere,2025-10-17,,,,,,
240,Super smoothie energy 750ml,Innocent,5038862239677,Autre boisson,224.0,53.0,0.0,10.0,0.0,0.0,1.5,1.4,0,5,C,43.0,D,NON,0,,https://world.openfoodfacts.org/product/5038862239677/super-smoothie-energy-750ml-innocent,2025-10-17,,,,,,
241,Acqua minerale naturale,Uliveto,8008490000021,Autre boisson,0.0,0.0,0.0,0.0,64.0,0.16,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/8008490000021/acqua-minerale-naturale-uliveto,2025-10-17,,,,,,
242,[Coca-Cola] Carbonated softdrink with cola taste,The Coca-Cola Company,5000112651324,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338",https://world.openfoodfacts.org/product/5000112651324/coca-cola-carbonated-softdrink-with-cola-taste-the-coca-cola-company,2025-10-17,,,,,,
243,Coconut Milk,Aldi/Actileaf,4061459329001,Boisson lactée,106.0,25.0,1.0,2.5,51.0,0.128,0.3,0.2,0,4,C,58.0,C,NON,1,e418,https://world.openfoodfacts.org/product/4061459329001/coconut-milk-aldi-actileaf,2025-10-17,,,,,,
244,Bio-Haferdrink Natur,"My Vay, Aldi, DE-VAU-GE Gesundkostwerk, Mona Naturprodukte",4061459133271,Boisson lactée,170.0,40.0,0.1,4.2,32.0,0.08,0.7,0.5,0,6,C,83.0,A,OUI,0,,https://world.openfoodfacts.org/product/4061459133271/bio-haferdrink-natur-my-vay,2025-10-17,,,,,,
245,Bebida de avena calcio,Vemondo,20659318,Autre boisson,196.0,46.0,0.1,6.3,28.0,0.07,1.4,0.2,0,7,D,63.0,B,NON,1,e418,https://world.openfoodfacts.org/product/20659318/bebida-de-avena-calcio-vemondo,2025-10-17,,,,,,
246,100% pur jus orange sans pulpe,Paquito,3250390001287,Jus de fruits,187.0,43.0,0.1,8.5,4.0,0.01,0.7,0.5,0,4,C,43.0,D,NON,0,,https://world.openfoodfacts.org/product/3250390001287/100-pur-jus-orange-sans-pulpe-paquito,2025-10-17,,,,,,
247,Smooth Orange Juice,Tropicana,5022313729824,Jus de fruits,172.0,40.0,0.0,8.6,0.0,0.0,0.8,0.0,0,4,C,57.0,C,NON,0,,https://world.openfoodfacts.org/product/5022313729824/smooth-orange-juice-tropicana,2025-10-17,,,,,,
248,Schweppes,Schweppes,5449000046413,Soda,2.0,19.8,0.0,4.4,16.0,0.04,1.0,2.0,0,3,C,,NOT-APPLICABLE,NON,4,"e104, e202, e300, e414",https://world.openfoodfacts.org/product/5449000046413/schweppes,2025-10-17,,,,,,
249,NESQUIK Gout EXTRA CHOCO Poudre Cacaotée boîte 600g,"Nestlé, Nesquik, Nesquik extra choco",7613033214004,Soda,1588.0,376.0,2.2,66.8,152.0,0.38,7.0,10.6,0,8,D,52.0,C,NON,2,"e322, e322i",https://world.openfoodfacts.org/product/7613033214004/nesquik-gout-extra-choco-poudre-cacaotee-boite-600g-nestle,2025-10-17,,,,,,
250,Thé vert glacé saveur citron vert & menthe,FUZE TEA,5449000266002,Thé,79.0,19.0,0.0,4.4,20.0,0.05,0.0,0.0,0,8,D,62.0,B,NON,4,"e300, e330, e331, e960",https://world.openfoodfacts.org/product/5449000266002/the-vert-glace-saveur-citron-vert-menthe-fuze-tea,2025-10-17,,,,,,
251,Trip CBD Infused Elderflower Mint,Trip,5070000120706,Autre boisson,32.0,8.0,0.0,1.5,0.0,0.0,0.0,0.0,0,2,B,66.0,B,NON,2,"e330, e968",https://world.openfoodfacts.org/product/5070000120706/trip-cbd-infused-elderflower-mint,2025-10-17,,,,,,
252,Innocent smoothie for kids,Innocent,5038862634106,Autre boisson,210.0,50.0,0.1,10.0,4.0,0.01,0.5,0.6,0,7,D,44.0,D,NON,0,,https://world.openfoodfacts.org/product/5038862634106/innocent-smoothie-for-kids,2025-10-17,,,,,,
253,ALMOMD MILK,Rude health,5060120285744,Boisson lactée,236.0,56.0,0.3,4.7,32.0,0.08,0.2,0.0,0,7,D,57.0,C,NON,0,,https://world.openfoodfacts.org/product/5060120285744/almomd-milk-rude-health,2025-10-17,,,,,,
254,Préparation Citrons pressés,Andros,3045320104530,Autre boisson,180.0,43.0,0.0,10.0,8.0,0.02,0.2,0.4,0,11,E,53.0,C,NON,0,,https://world.openfoodfacts.org/product/3045320104530/pressed-lemons-andros,2025-10-17,,,,,,
255,"Pepsi 1,5L",Pepsi,3502110008329,Soda,78.0,18.0,0.0,4.6,0.0,0.0,0.0,0.0,0,8,D,,NOT-APPLICABLE,NON,4,"e150d, e338, e950, e955",https://world.openfoodfacts.org/product/3502110008329/pepsi-1-5l,2025-10-17,,,,,,
256,Coca Cola Zero Sugar,Coca Cola,5000112552232,Soda,2.3,1.0,0.0,0.0,20.0,0.05,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,7,"e150d, e290, e331, e338, e950, e951, e960c",https://world.openfoodfacts.org/product/5000112552232/zero-sugar-null-zucker-coca-cola,2025-10-17,,,,,,
257,Fanta tropical exotic,Fanta,5449000083142,Soda,176.0,41.3,0.0,10.1,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e160, e202, e330",https://world.openfoodfacts.org/product/5449000083142/fanta-tropical-exotic,2025-10-17,,,,,,
258,Nesquick,Nestlé,7610100088056,Soda,1634.0,386.0,1.6,75.1,56.0,0.14,5.1,7.7,0,9,D,54.0,C,NON,2,"e322, e322i",https://world.openfoodfacts.org/product/7610100088056/nesquick-nestle,2025-10-17,,,,,,
259,Coca-Cola sans sucres,Coca-Cola,90357473,Soda,1.4,0.3,0.0,0.0,8.0,0.02,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,5,"e150d, e331, e338, e950, e951",https://world.openfoodfacts.org/product/90357473/cola-zero-coca-cola,2025-10-17,,,,,,
260,SANPELLEGRINO Momenti boisson gazeuse aromatise clémentine pêche 33cl,"Nestlé, San Pellegrino, Momenti, Sanpellegrino",8002270666667,Eau,44.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0,2,B,,NOT-APPLICABLE,NON,2,"e290, e330",https://world.openfoodfacts.org/product/8002270666667/sanpellegrino-momenti-boisson-gazeuse-aromatise-clementine-peche-33cl-nestle,2025-10-17,,,,,,
261,Fraise et Citron,Pulco,3124480183347,Autre boisson,220.0,52.0,0.0,11.6,4.0,0.01,0.1,0.0,0,20,E,42.0,D,NON,1,e330,https://world.openfoodfacts.org/product/3124480183347/fraise%F0%9F%8D%93-et-%F0%9F%8D%8B-pulco,2025-10-17,,,,,,
262,SOJA à la VANILLE,"Carrefour BIO, Carrefour",3245411157944,Boisson lactée,195.0,46.0,0.3,4.0,60.0,0.15,3.2,0.7,0,-1,B,101.0,A-PLUS,OUI,0,,https://world.openfoodfacts.org/product/3245411157944/soja-a-la-vanille-carrefour-bio,2025-10-17,,,,,,
263,coca cola,Coca-Cola,5000112548068,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338",https://world.openfoodfacts.org/product/5000112548068/coca-cola-original,2025-10-17,,,,,,
264,Thé vert menthe intense menthe verte & menthe poivrée,Lipton,8720608025657,Thé,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,B,100.0,A-PLUS,NON,0,,https://world.openfoodfacts.org/product/8720608025657/the-vert-menthe-intense-menthe-verte-menthe-poivree-lipton,2025-10-17,,,,,,
265,Le Lait Ribot,Paysan Breton,3218930156002,Boisson lactée,243.0,58.0,2.3,4.0,40.0,0.1,3.3,0.0,0,3,C,44.0,D,NON,0,,https://world.openfoodfacts.org/product/3218930156002/le-lait-ribot-paysan-breton,2025-10-17,,,,,,
266,Tropicana Pamplemousse rose 1 L,Tropicana,3502110004239,Jus de fruits,164.0,39.0,0.0,7.6,0.0,0.0,0.5,0.9,0,3,C,31.0,D,NON,0,,https://world.openfoodfacts.org/product/3502110004239/tropicana-pamplemousse-rose-1-l,2025-10-17,,,,,,
267,Soia,Alpro,5411188553304,Autre boisson,170.0,40.0,0.3,2.8,36.0,0.09,3.0,0.4,0,-1,B,80.0,A,NON,2,"e340, e418",https://world.openfoodfacts.org/product/5411188553304/soia-alpro,2025-10-17,,,,,,
268,"RICORE Noir Intense, Café & Chicorée, Boîte 240g","Nestlé, Ricore",7613034541239,Café,575.0,141.0,0.1,7.7,60.0,0.15,3.0,48.7,0,5,C,-20.0,F,NON,0,,https://world.openfoodfacts.org/product/7613034541239/ricore-noir-intense-cafe-chicoree-boite-240g-nestle,2025-10-17,,,,,,
269,Limonada natural light,Don Simón,8410261626802,Soda,97.0,23.0,0.0,5.6,4.0,0.01,0.1,0.0,0,10,E,,NOT-APPLICABLE,NON,1,e955,https://world.openfoodfacts.org/product/8410261626802/limonada-natural-light-don-simon,2025-10-17,,,,,,
270,Eau petillante,Saguaro,4056489105619,Eau,0.0,0.0,0.0,0.0,14.5,0.036,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/4056489105619/eau-petillante-saguaro,2025-10-17,,,,,,
271,Haferdrink Natur,DmBio,4067796002003,Autre boisson,168.0,40.0,0.2,5.2,52.0,0.13,0.6,0.5,0,7,D,52.0,C,OUI,0,,https://world.openfoodfacts.org/product/4067796002003/haferdrink-natur-dmbio,2025-10-17,,,,,,
272,Coca-Cola,"Coca-Cola, Coca-Cola company, The Coca Cola Company",5000112545326,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338",https://world.openfoodfacts.org/product/5000112545326/coca-cola,2025-10-17,,,,,,
273,Hit Lean & Green Apple + Elderflower + Maté Tea + L-Carnitine,"LEAN&GREEN,Vit.Hit,Vithit",5034033000220,Autre boisson,31.0,7.0,0.1,1.3,4.0,0.01,0.5,0.5,0,6,C,,UNKNOWN,NON,8,"e141, e141i, e150d, e300, e330, e414, e445, e955",https://world.openfoodfacts.org/product/5034033000220/hit-lean-green-apple-elderflower-mate-tea-l-carnitine,2025-10-17,,,,,,
274,Innocent jus pomme & framboise 900ml,Innocent,5038862165501,Jus de fruits,181.0,42.7,0.0,9.33,0.0,0.0,0.19,0.67,0,5,C,30.0,D,NON,0,,https://world.openfoodfacts.org/product/5038862165501/innocent-jus-pomme-framboise-900ml,2025-10-17,,,,,,
275,Kefir,Milko,5900820001353,Boisson lactée,195.0,46.0,1.0,4.6,40.0,0.1,3.6,0.0,0,-1,B,,UNKNOWN,NON,0,,https://world.openfoodfacts.org/product/5900820001353/kefir-milko,2025-10-17,,,,,,
276,"Alpro Sojadrink, Barista 1L",DANONE AS,5411188115434,Autre boisson,177.0,42.0,0.3,2.5,40.0,0.1,3.3,0.6,0,-2,B,80.0,A,NON,4,"e170, e170i, e340, e418",https://world.openfoodfacts.org/product/5411188115434/alpro-barista-professional-soya-1l-danone-as,2025-10-17,,,,,,
277,AQUA CARPATICA,,5942326402272,Eau,0.0,0.0,0.0,0.0,2.8,0.007,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/5942326402272/aqua-carpatica,2025-10-17,,,,,,
278,Lait saveur cacao,ENVIA,20527488,Soda,292.0,69.0,1.0,10.0,52.0,0.13,3.0,0.7,0,8,D,54.0,C,NON,4,"e331, e407, e460, e466",https://world.openfoodfacts.org/product/20527488/lait-saveur-cacao-envia,2025-10-17,,,,,,
279,CRISTALINE Eau de Source au jus de fruits FRAISE 50cl,Cristaline,3254381048343,Eau,67.0,16.0,0.0,3.7,0.0,0.0,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,1,e330,https://world.openfoodfacts.org/product/3254381048343/loading-cristaline,2025-10-17,,,,,,
280,Lait Demi-Ecrémé - Stérilisé UHT,"E.Leclerc, Eco +, Eco+, Leclerc",3450970102124,Boisson lactée,193.0,46.0,1.0,4.8,44.0,0.11,3.3,0.0,0,-1,B,60.0,B,NON,0,,https://world.openfoodfacts.org/product/3450970102124/lait-demi-ecreme-sterilise-uht-e-leclerc,2025-10-17,,,,,,
281,Pur jus de citron,"Carrefour BIO, Carrefour",3560070483471,Jus de fruits,116.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0,-3,B,54.0,C,OUI,0,,https://world.openfoodfacts.org/product/3560070483471/pur-jus-de-citron-carrefour-bio,2025-10-17,,,,,,
282,apple juice,Innocent,5038862104708,Jus de fruits,180.0,45.0,0.0,9.5,0.0,0.0,0.2,0.5,0,7,D,58.0,C,NON,1,e300,https://world.openfoodfacts.org/product/5038862104708/apple-juice-innocent,2025-10-17,,,,,,
283,Lalla Khedidja,Cevital,6130234001161,Eau,0.0,0.0,0.0,0.0,0.6,0.001,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6130234001161/lalla-khedidja-cevital,2025-10-17,,,,,,
284,S.pellegrino,"Nestlé, San Pellegrino",8002270776823,Eau,3.0,1.0,0.0,0.0,4.0,0.01,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/8002270776823/s-pellegrino-nestle,2025-10-17,,,,,,
285,Cranberry drink,Mcennedy,4056489651086,Jus de fruits,154.0,36.0,0.0,8.4,12.0,0.03,0.1,0.0,0,10,E,26.0,E,NON,0,,https://world.openfoodfacts.org/product/4056489651086/cranberry-drink-mcennedy,2025-10-17,,,,,,
286,Oatly Barista Organic Oat Drink,Oatly,7394376621673,Boisson lactée,248.0,59.0,0.3,2.2,40.0,0.1,1.0,0.7,0,7,D,77.0,A,OUI,2,"e501, e501i",https://world.openfoodfacts.org/product/7394376621673/oatly-barista-organic-oat-drink,2025-10-17,,,,,,
287,Unsweetened Soya,Sainsbury's,01550368,Boisson lactée,54.4,13.2,0.12,0.2,14.4,0.036,1.36,0.24,0,0,B,80.0,A,NON,1,e418,https://world.openfoodfacts.org/product/01550368/unsweetened-soya-sainsbury-s,2025-10-17,,,,,,
288,"NESCAFÉ NES, Café Soluble,",Nescafé,3033710076505,Café,484.0,118.0,0.1,3.1,120.0,0.3,7.8,34.1,0,0,B,14.0,F,NON,0,,https://world.openfoodfacts.org/product/3033710076505/nescafe-nes-cafe-soluble,2025-10-17,,,,,,
289,Tropicana Pommes pressées Pink Lady 1 L,Tropicana,3502110005670,Jus de fruits,198.0,47.0,0.0,11.0,0.0,0.0,0.1,0.6,0,8,D,54.0,C,NON,1,e300,https://world.openfoodfacts.org/product/3502110005670/tropicana-pommes-pressees-pink-lady-1-l,2025-10-17,,,,,,
